table_name,approx_row_count
academic_years,3
activities,1
activity_rosters,2
admissions,2
alumni_event_registrations,1
alumni_events,1
alumni_profiles,2
applicants,1
asset_tags,10
assignment_submissions,5
assignments,25
attendance_records,8
awards,2
behavior_incidents,2
book_copies,16
book_issues,13
book_reservations,1
books,14
campuses,4
certificates,2
circular_read_receipts,2
circulars,4
class_elective_offerings,31
clinic_visits,7
corrective_actions,2
counseling_referrals,1
daily_menu_items,5
daily_menus,1
diary_entries,7
diary_replies,1
discussion_posts,3
discussion_threads,2
document_acknowledgments,1
documents,2
donations,2
drivers,12
employees,11
event_registrations,2
events,2
exam_groups,8
exam_results,23
exams,282
fee_adjustments,6
fee_assignments,9
fee_components,11
fee_installments,10
fee_payments,9
fee_structures,8
full_final_settlements,3
hostel_attendance_records,2
hostel_maintenance_requests,1
hostel_room_allocations,2
hostel_room_preferences,2
hostel_rooms,1
hostel_visitors,2
immunization_records,7
item_stocks,8
items,18
job_openings,3
learning_resources,3
leave_requests,2
lecture_progress,0
lectures,0
loan_advances,3
meal_attendance_records,9
medication_administrations,1
mentorship_matches,1
menu_items,5
migrations,73
parent_student_links,1
payroll_runs,4
payroll_settings,3
payslips,6
performance_review_cycles,2
performance_reviews,2
procurement_requests,9
roles,68
route_assignments,12
route_stops,25
routes,21
salary_structures,3
school_classes,14
screening_campaigns,7
screening_results,8
staff_attendance_records,3
staff_certifications,2
stock_transactions,9
student_dietary_restrictions,9
student_elective_selections,1
student_health_profiles,4
student_transport_assignments,3
students,91
subjects,13
succession_plans,0
teacher_subject_specializations,15
tenant_feature_toggles,5
tenants,5
timetable_slots,442
users,43
vehicle_maintenance_records,2
vehicles,12
